latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-12.831,-54.087,314.7,1,1,2014-12-30, 1715,A,22,5.0,297.6,9.7
-13.429,-58.896,313.9,1.9,1.3,2014-12-30, 1715,A,35,5.0,296.2,25.7
-13.177,-57.157,319.9,1.4,1.2,2014-12-30, 1715,A,39,5.0,304.2,24.6
-12.857,-54.808,339.9,1.1,1,2014-12-30, 1715,A,78,5.0,303.4,44.5
-12.858,-54.817,345,1.1,1,2014-12-30, 1715,A,87,5.0,303.7,51.8
-13.166,-57.159,319.8,1.4,1.2,2014-12-30, 1715,A,26,5.0,303.4,23.7
-13.543,-60.424,313.5,2.5,1.5,2014-12-30, 1715,A,34,5.0,296.1,32.3
-12.724,-57.197,324.3,1.4,1.2,2014-12-30, 1715,A,72,5.0,305.4,33.1
-12.713,-57.198,326.3,1.4,1.2,2014-12-30, 1715,A,66,5.0,305.8,35.9
-12.78,-58.368,319.9,1.7,1.3,2014-12-30, 1715,A,47,5.0,301.5,38.3
-12.572,-56.807,398.2,1.3,1.1,2014-12-30, 1715,A,94,5.0,300,355
-12.574,-56.819,346,1.3,1.1,2014-12-30, 1715,A,81,5.0,297.2,80.5
-12.56,-56.796,394,1.3,1.1,2014-12-30, 1715,A,100,5.0,299.9,308.7
-12.562,-56.808,503.8,1.3,1.1,2014-12-30, 1715,A,100,5.0,325.3,2630.9
-12.563,-56.82,398.6,1.3,1.1,2014-12-30, 1715,A,100,5.0,305.9,355.4
-12.562,-56.802,459.9,1.3,1.1,2014-12-30, 1715,A,100,5.0,314.1,1232.6
-12.564,-56.814,455.8,1.3,1.1,2014-12-30, 1715,A,100,5.0,322.3,1147.7
-12.554,-56.816,337.8,1.3,1.1,2014-12-30, 1715,A,67,5.0,298.6,52.7
-12.552,-57.04,322.3,1.4,1.2,2014-12-30, 1715,A,75,5.0,304.2,29.3
-12.496,-56.848,318.1,1.3,1.1,2014-12-30, 1715,A,24,5.0,299,19.3
-11.37,-49.414,328.9,1.5,1.2,2014-12-30, 1715,A,82,5.0,291,46.1
-12.299,-55.754,318.9,1.1,1.1,2014-12-30, 1715,A,53,5.0,303.3,16.7
-12.378,-56.487,322.6,1.3,1.1,2014-12-30, 1715,A,62,5.0,303.4,25.3
-12.6,-58.651,325.3,1.8,1.3,2014-12-30, 1715,A,49,5.0,303.9,50.7
-12.403,-57.724,353.9,1.5,1.2,2014-12-30, 1715,A,97,5.0,297.6,128.8
-12.365,-57.541,313,1.5,1.2,2014-12-30, 1715,A,17,5.0,295.7,15.3
-12.2,-56.987,318.6,1.3,1.1,2014-12-30, 1715,A,56,5.0,301.7,17.6
-12.244,-57.565,316,1.5,1.2,2014-12-30, 1715,A,30,5.0,298.8,17.5
-10.996,-49.374,344.6,1.5,1.2,2014-12-30, 1715,A,92,5.0,304.9,90.8
-11.833,-56.45,318.4,1.2,1.1,2014-12-30, 1715,A,70,5.0,301.2,18.1
-11.859,-56.725,319.8,1.3,1.1,2014-12-30, 1715,A,57,5.0,302.8,19.9
-11.078,-51.587,325,1.1,1.1,2014-12-30, 1715,A,67,5.0,303,14.9
-11.747,-57.104,319.6,1.3,1.1,2014-12-30, 1715,A,69,5.0,299.2,20.9
-10.936,-51.573,328.6,1.1,1.1,2014-12-30, 1715,A,36,5.0,307.2,18.2
-11.341,-54.547,317.9,1,1,2014-12-30, 1715,A,16,5.0,298.7,13.7
-11.701,-57.293,316.5,1.4,1.2,2014-12-30, 1715,A,57,5.0,300,16.9
-11.65,-57.149,322.4,1.3,1.1,2014-12-30, 1715,A,30,5.0,304.5,23.9
-11.651,-58.283,314.3,1.6,1.2,2014-12-30, 1715,A,38,5.0,297.8,17.7
-11.528,-57.445,319.6,1.4,1.2,2014-12-30, 1715,A,64,5.0,304,23.8
-11.072,-54.267,320.1,1,1,2014-12-30, 1715,A,56,5.0,303.8,14
-11.555,-57.898,317.5,1.5,1.2,2014-12-30, 1715,A,20,5.0,299.6,20
-11.048,-54.233,323.5,1,1,2014-12-30, 1715,A,58,5.0,306,16.1
-11.679,-59.065,317.1,1.8,1.3,2014-12-30, 1715,A,47,5.0,297,30.1
-10.54,-52.196,336.4,1.1,1,2014-12-30, 1715,A,88,5.0,300.8,35.6
-10.33,-52.127,333.5,1.1,1,2014-12-30, 1715,A,74,5.0,301.5,31.1
-10.907,-56.994,313.7,1.3,1.1,2014-12-30, 1715,A,53,5.0,298.1,15.5
-10.544,-54.634,328.8,1,1,2014-12-30, 1715,A,77,5.0,298,23.3
-10.177,-52.402,400.3,1.1,1,2014-12-30, 1715,A,100,5.0,304.6,271
-10.178,-52.411,361.9,1.1,1,2014-12-30, 1715,A,94,5.0,299.4,97.2
-10.76,-57.111,316.9,1.3,1.1,2014-12-30, 1715,A,43,5.0,299.1,17.8
-10.75,-57.112,313.9,1.3,1.1,2014-12-30, 1715,A,31,5.0,296.7,12.6
-10.108,-54.219,317.9,1,1,2014-12-30, 1715,A,47,5.0,300.9,10.4
-10.168,-56.809,321.1,1.2,1.1,2014-12-30, 1715,A,69,5.0,300.6,19.3
-6.527,-55.353,315.1,1,1,2014-12-30, 1715,A,63,5.0,297.2,8.9
-4.69,-56.156,324.1,1,1,2014-12-30, 1715,A,77,5.0,298.5,20.3
-4.449,-55.821,323,1,1,2014-12-30, 1715,A,76,5.0,299.2,17.1
-4.475,-56.068,316.7,1,1,2014-12-30, 1715,A,64,5.0,296.6,10.8
-2.982,-46.699,326.3,3.4,1.7,2014-12-30, 1715,A,69,5.0,293.8,128.7
-4.273,-55.62,320.1,1,1,2014-12-30, 1715,A,72,5.0,298.3,14.5
-3.89,-53.529,317.1,1.1,1,2014-12-30, 1715,A,56,5.0,294.6,11.3
-4.132,-55.463,317.8,1,1,2014-12-30, 1715,A,60,5.0,298.4,11.3
-3.596,-51.938,327.7,1.3,1.1,2014-12-30, 1715,A,80,5.0,298,30.5
-3.727,-53.31,316.4,1.1,1.1,2014-12-30, 1715,A,46,5.0,297.6,11.5
-3.897,-54.534,332.1,1,1,2014-12-30, 1715,A,84,5.0,298.8,27.9
-3.87,-54.793,320.9,1,1,2014-12-30, 1715,A,46,5.0,296.8,12.6
-3.743,-54.105,317.1,1,1,2014-12-30, 1715,A,47,5.0,293.5,11.4
-4.011,-56.035,312.9,1,1,2014-12-30, 1715,A,41,5.0,295.1,6.1
-3.292,-51.246,318.3,1.5,1.2,2014-12-30, 1715,A,57,5.0,295,17.3
-3.719,-54.517,329.6,1,1,2014-12-30, 1715,A,78,5.0,299.7,26.5
-3.489,-53.873,339.1,1.1,1,2014-12-30, 1715,A,89,5.0,301.3,40.9
-3.49,-53.883,353.2,1.1,1,2014-12-30, 1715,A,97,5.0,301.7,71.9
-3.415,-53.43,319.1,1.1,1,2014-12-30, 1715,A,46,5.0,299.4,11
-3.555,-54.719,318.8,1,1,2014-12-30, 1715,A,49,5.0,301.8,12
-3.556,-54.728,321.2,1,1,2014-12-30, 1715,A,54,5.0,303.4,15.1
-3.51,-54.658,327.3,1,1,2014-12-30, 1715,A,76,5.0,300.8,22.6
-3.282,-53.78,321.5,1.1,1,2014-12-30, 1715,A,69,5.0,304.1,15.6
-3.068,-52.515,325.5,1.2,1.1,2014-12-30, 1715,A,68,5.0,298.1,23.1
-3.274,-54.491,314.6,1,1,2014-12-30, 1715,A,43,5.0,295.9,8.4
-3.798,-58.464,323.5,1.3,1.1,2014-12-30, 1715,A,76,5.0,292.2,29
-3.798,-58.459,317.5,1.3,1.1,2014-12-30, 1715,A,68,5.0,291.8,18.5
-3.799,-58.471,312.8,1.3,1.1,2014-12-30, 1715,A,39,5.0,292,11.4
-3.098,-53.848,314.3,1.1,1,2014-12-30, 1715,A,28,5.0,290.3,10
-3.099,-53.858,320.9,1.1,1,2014-12-30, 1715,A,64,5.0,291.2,18.3
-2.338,-49.552,317.9,2.1,1.4,2014-12-30, 1715,A,61,5.0,297.1,29.3
-3.117,-54.932,321.6,1,1,2014-12-30, 1715,A,49,5.0,301.3,14.5
-2.336,-49.559,318.6,2.1,1.4,2014-12-30, 1715,A,44,5.0,297.4,29.2
-3.505,-58.049,314.2,1.2,1.1,2014-12-30, 1715,A,53,5.0,292.8,15.1
-2.994,-54.532,326.2,1,1,2014-12-30, 1715,A,53,5.0,306.6,16.9
-3.014,-54.733,336.2,1,1,2014-12-30, 1715,A,87,5.0,301.4,31.6
-2.575,-52.353,327.6,1.3,1.1,2014-12-30, 1715,A,60,5.0,305.1,29.7
-2.565,-52.355,325.4,1.3,1.1,2014-12-30, 1715,A,61,5.0,303,24.1
-3.32,-57.904,313,1.2,1.1,2014-12-30, 1715,A,57,5.0,294.6,10.2
-2.825,-54.569,324.1,1,1,2014-12-30, 1715,A,66,5.0,293.9,22.3
-3.326,-58.298,323.9,1.2,1.1,2014-12-30, 1715,A,67,5.0,292,26.8
-1.959,-49.917,317.7,2,1.4,2014-12-30, 1715,A,68,5.0,297.7,31.4
-13.247,-58.707,321.3,1.8,1.3,2014-12-30, 1715,A,47,5.0,302,40.2
-12.941,-57.052,313.4,1.4,1.2,2014-12-30, 1715,A,51,5.0,298.7,19.1
-12.682,-55.345,326.1,1.1,1,2014-12-30, 1715,A,58,5.0,308.2,24.2
-12.884,-56.857,321.4,1.3,1.1,2014-12-30, 1715,A,40,5.0,302.4,22.7
-12.768,-56.432,315.6,1.3,1.1,2014-12-30, 1715,A,62,5.0,299.7,15.4
-12.809,-57.311,317.3,1.4,1.2,2014-12-30, 1715,A,30,5.0,300.7,19.1
-12.802,-57.305,318.9,1.4,1.2,2014-12-30, 1715,A,54,5.0,301,23.5
-12.966,-58.562,319.2,1.8,1.3,2014-12-30, 1715,A,39,5.0,302.1,32.4
-12.974,-58.813,336.1,1.8,1.3,2014-12-30, 1715,A,72,5.0,302.8,87.3
-12.013,-52.008,323.8,1.1,1,2014-12-30, 1715,A,77,5.0,303.2,20.1
-12.722,-57.184,318.4,1.4,1.2,2014-12-30, 1715,A,44,5.0,301.5,20.2
-2.997,-57.193,313.4,1.1,1,2014-12-30, 1715,A,49,5.0,294.9,8.4
-2.829,-57.239,338.1,1.1,1,2014-12-30, 1715,A,89,5.0,297.6,41.8
-2.818,-57.23,318,1.1,1,2014-12-30, 1715,A,67,5.0,296.5,11.1
-2.82,-57.24,337.5,1.1,1,2014-12-30, 1715,A,88,5.0,298.9,42.4
-3.132,-59.965,317.3,1.6,1.2,2014-12-30, 1715,A,34,5.0,296.1,20.8
-2.414,-55.165,316.4,1,1,2014-12-30, 1715,A,0,5.0,299.1,10.6
-2.188,-53.786,324.9,1.1,1,2014-12-30, 1715,A,59,5.0,298.2,16.3
-11.672,-56.947,313.3,1.4,1.2,2014-12-30, 1425,T,39,5.0,298,14.5
-12.008,-54.987,311.9,2,1.4,2014-12-30, 1425,T,52,5.0,296.8,23.3
-11.737,-57.099,315.3,1.4,1.2,2014-12-30, 1425,T,60,5.0,295.4,15.8
-11.737,-58.136,321.2,1.2,1.1,2014-12-30, 1425,T,74,5.0,302.8,17.1
-12.259,-54.345,316.7,2.3,1.5,2014-12-30, 1425,T,38,5.0,297,46.2
-11.964,-58.197,317.3,1.2,1.1,2014-12-30, 1425,T,58,5.0,300.6,13.9
-11.976,-58.254,314.5,1.2,1.1,2014-12-30, 1425,T,60,5.0,298.8,11.9
-12.306,-55.749,311.3,1.8,1.3,2014-12-30, 1425,T,47,5.0,296.8,18
-12.059,-57.798,319,1.3,1.1,2014-12-30, 1425,T,41,5.0,300.2,18.9
-12.454,-54.77,316.3,2.1,1.4,2014-12-30, 1425,T,62,5.0,298.1,34.3
-12.201,-56.982,316.3,1.4,1.2,2014-12-30, 1425,T,64,5.0,298.7,16.3
-12.022,-58.517,312,1.2,1.1,2014-12-30, 1425,T,52,5.0,294.6,10.6
-12.32,-56.857,317,1.5,1.2,2014-12-30, 1425,T,50,5.0,299.2,17
-12.604,-54.82,316.9,2.1,1.4,2014-12-30, 1425,T,45,5.0,297.4,32.3
-12.262,-57.575,315.9,1.3,1.1,2014-12-30, 1425,T,31,5.0,298.3,15.3
-12.263,-57.563,316.3,1.3,1.1,2014-12-30, 1425,T,48,5.0,298,15.6
-12.301,-57.519,317.8,1.3,1.1,2014-12-30, 1425,T,52,5.0,298.7,20
-12.689,-54.972,316.5,2,1.4,2014-12-30, 1425,T,61,5.0,298.1,32.2
-12.368,-57.547,316.4,1.3,1.1,2014-12-30, 1425,T,52,5.0,297.9,17.2
3.174,-61.159,322.8,1.3,1.2,2014-12-30, 1420,T,76,5.0,297.6,22.5
3.006,-60.277,317.7,1.2,1.1,2014-12-30, 1420,T,29,5.0,297.2,10.8
3.004,-60.266,319.5,1.2,1.1,2014-12-30, 1420,T,47,5.0,298.2,12.8
2.101,-55.872,325.8,1.1,1.1,2014-12-30, 1420,T,79,5.0,295.5,24.7
2.099,-55.862,328.3,1.1,1.1,2014-12-30, 1420,T,81,5.0,295.1,29.2
2.07,-55.927,318.2,1.1,1.1,2014-12-30, 1420,T,65,5.0,293.7,14.8
2.069,-55.917,318.3,1.1,1.1,2014-12-30, 1420,T,69,5.0,292.3,14.5
1.207,-50.527,324.4,2.8,1.6,2014-12-30, 1420,T,78,5.0,289.7,93.8
2.362,-59.572,324.7,1.1,1,2014-12-30, 1420,T,70,5.0,299.4,16.6
2.333,-59.439,322.2,1.1,1,2014-12-30, 1420,T,65,5.0,298.8,18.8
0.905,-50.439,311.4,2.8,1.6,2014-12-30, 1420,T,48,5.0,290.3,35.3
